nohup: ignoring input
INFO:albumentations.check_version:A new version of Albumentations is available: 1.4.20 (you have 1.4.12). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.

  0%|          | 0/67 [00:00<?, ?it/s]
[Epoch 1]:   0%|          | 0/67 [00:27<?, ?it/s]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it]
[Epoch 1]:  22%|██▏       | 15/67 [01:01<02:07,  2.45s/it, Cls loss=0.977, Angle loss=0.579, IoU loss=1.47]
[Epoch 1]:  24%|██▍       | 16/67 [01:02<01:44,  2.04s/it, Cls loss=0.977, Angle loss=0.579, IoU loss=1.47]
[Epoch 1]:  24%|██▍       | 16/67 [01:02<01:44,  2.04s/it, Cls loss=0.975, Angle loss=0.693, IoU loss=1.55]
[Epoch 1]:  24%|██▍       | 16/67 [01:02<01:44,  2.04s/it, Cls loss=0.975, Angle loss=0.693, IoU loss=1.55]
[Epoch 1]:  25%|██▌       | 17/67 [01:03<01:27,  1.75s/it, Cls loss=0.975, Angle loss=0.693, IoU loss=1.55]
[Epoch 1]:  25%|██▌       | 17/67 [01:03<01:27,  1.75s/it, Cls loss=0.966, Angle loss=1.05, IoU loss=1.62] 
[Epoch 1]:  25%|██▌       | 17/67 [01:03<01:27,  1.75s/it, Cls loss=0.966, Angle loss=1.05, IoU loss=1.62]
[Epoch 1]:  27%|██▋       | 18/67 [01:04<01:17,  1.58s/it, Cls loss=0.966, Angle loss=1.05, IoU loss=1.62]
[Epoch 1]:  27%|██▋       | 18/67 [01:04<01:17,  1.58s/it, Cls loss=0.963, Angle loss=0.513, IoU loss=1.49]
[Epoch 1]:  27%|██▋       | 18/67 [01:09<01:17,  1.58s/it, Cls loss=0.963, Angle loss=0.513, IoU loss=1.49]
[Epoch 1]:  28%|██▊       | 19/67 [01:11<02:26,  3.06s/it, Cls loss=0.963, Angle loss=0.513, IoU loss=1.49]
[Epoch 1]:  28%|██▊       | 19/67 [01:11<02:26,  3.06s/it, Cls loss=0.963, Angle loss=0.866, IoU loss=1.7] 
[Epoch 1]:  28%|██▊       | 19/67 [01:11<02:26,  3.06s/it, Cls loss=0.963, Angle loss=0.866, IoU loss=1.7]
[Epoch 1]:  30%|██▉       | 20/67 [01:12<01:57,  2.50s/it, Cls loss=0.963, Angle loss=0.866, IoU loss=1.7]
[Epoch 1]:  30%|██▉       | 20/67 [01:12<01:57,  2.50s/it, Cls loss=0.955, Angle loss=0.445, IoU loss=1.27]
[Epoch 1]:  30%|██▉       | 20/67 [01:15<01:57,  2.50s/it, Cls loss=0.955, Angle loss=0.445, IoU loss=1.27]
[Epoch 1]:  31%|███▏      | 21/67 [01:16<02:14,  2.92s/it, Cls loss=0.955, Angle loss=0.445, IoU loss=1.27]
[Epoch 1]:  31%|███▏      | 21/67 [01:16<02:14,  2.92s/it, Cls loss=0.977, Angle loss=0.235, IoU loss=1.39]
[Epoch 1]:  31%|███▏      | 21/67 [01:16<02:14,  2.92s/it, Cls loss=0.977, Angle loss=0.235, IoU loss=1.39]
[Epoch 1]:  33%|███▎      | 22/67 [01:17<01:54,  2.54s/it, Cls loss=0.977, Angle loss=0.235, IoU loss=1.39]
[Epoch 1]:  33%|███▎      | 22/67 [01:17<01:54,  2.54s/it, Cls loss=0.963, Angle loss=0.627, IoU loss=1.62]
[Epoch 1]:  33%|███▎      | 22/67 [01:17<01:54,  2.54s/it, Cls loss=0.963, Angle loss=0.627, IoU loss=1.62]
[Epoch 1]:  34%|███▍      | 23/67 [01:18<01:32,  2.10s/it, Cls loss=0.963, Angle loss=0.627, IoU loss=1.62]
[Epoch 1]:  34%|███▍      | 23/67 [01:18<01:32,  2.10s/it, Cls loss=0.942, Angle loss=1.01, IoU loss=1.4]  
[Epoch 1]:  34%|███▍      | 23/67 [01:23<01:32,  2.10s/it, Cls loss=0.942, Angle loss=1.01, IoU loss=1.4]
[Epoch 1]:  36%|███▌      | 24/67 [01:24<02:15,  3.15s/it, Cls loss=0.942, Angle loss=1.01, IoU loss=1.4]
[Epoch 1]:  36%|███▌      | 24/67 [01:24<02:15,  3.15s/it, Cls loss=0.96, Angle loss=0.326, IoU loss=1.32]
[Epoch 1]:  36%|███▌      | 24/67 [01:24<02:15,  3.15s/it, Cls loss=0.96, Angle loss=0.326, IoU loss=1.32]
[Epoch 1]:  37%|███▋      | 25/67 [01:25<01:47,  2.56s/it, Cls loss=0.96, Angle loss=0.326, IoU loss=1.32]
[Epoch 1]:  37%|███▋      | 25/67 [01:25<01:47,  2.56s/it, Cls loss=0.927, Angle loss=0.519, IoU loss=1.35]
[Epoch 1]:  37%|███▋      | 25/67 [01:25<01:47,  2.56s/it, Cls loss=0.927, Angle loss=0.519, IoU loss=1.35]
[Epoch 1]:  39%|███▉      | 26/67 [01:26<01:28,  2.15s/it, Cls loss=0.927, Angle loss=0.519, IoU loss=1.35]
[Epoch 1]:  39%|███▉      | 26/67 [01:26<01:28,  2.15s/it, Cls loss=0.929, Angle loss=0.687, IoU loss=1.38]
[Epoch 1]:  39%|███▉      | 26/67 [01:27<01:28,  2.15s/it, Cls loss=0.929, Angle loss=0.687, IoU loss=1.38]
[Epoch 1]:  40%|████      | 27/67 [01:28<01:18,  1.96s/it, Cls loss=0.929, Angle loss=0.687, IoU loss=1.38]
[Epoch 1]:  40%|████      | 27/67 [01:28<01:18,  1.96s/it, Cls loss=0.937, Angle loss=0.223, IoU loss=1.2] 
[Epoch 1]:  40%|████      | 27/67 [01:29<01:18,  1.96s/it, Cls loss=0.937, Angle loss=0.223, IoU loss=1.2]
[Epoch 1]:  42%|████▏     | 28/67 [01:30<01:20,  2.08s/it, Cls loss=0.937, Angle loss=0.223, IoU loss=1.2]
[Epoch 1]:  42%|████▏     | 28/67 [01:30<01:20,  2.08s/it, Cls loss=0.928, Angle loss=0.59, IoU loss=1.38]
[Epoch 1]:  42%|████▏     | 28/67 [01:31<01:20,  2.08s/it, Cls loss=0.928, Angle loss=0.59, IoU loss=1.38]
[Epoch 1]:  43%|████▎     | 29/67 [01:32<01:17,  2.03s/it, Cls loss=0.928, Angle loss=0.59, IoU loss=1.38]
[Epoch 1]:  43%|████▎     | 29/67 [01:32<01:17,  2.03s/it, Cls loss=0.894, Angle loss=0.73, IoU loss=1.48]
[Epoch 1]:  43%|████▎     | 29/67 [01:37<01:17,  2.03s/it, Cls loss=0.894, Angle loss=0.73, IoU loss=1.48]
[Epoch 1]:  45%|████▍     | 30/67 [01:38<01:55,  3.12s/it, Cls loss=0.894, Angle loss=0.73, IoU loss=1.48]
[Epoch 1]:  45%|████▍     | 30/67 [01:38<01:55,  3.12s/it, Cls loss=0.9, Angle loss=0.735, IoU loss=1.31] 
[Epoch 1]:  45%|████▍     | 30/67 [01:38<01:55,  3.12s/it, Cls loss=0.9, Angle loss=0.735, IoU loss=1.31]
[Epoch 1]:  46%|████▋     | 31/67 [01:39<01:30,  2.52s/it, Cls loss=0.9, Angle loss=0.735, IoU loss=1.31]
[Epoch 1]:  46%|████▋     | 31/67 [01:39<01:30,  2.52s/it, Cls loss=0.897, Angle loss=0.254, IoU loss=1.31]
[Epoch 1]:  46%|████▋     | 31/67 [01:52<01:30,  2.52s/it, Cls loss=0.897, Angle loss=0.254, IoU loss=1.31]
[Epoch 1]:  48%|████▊     | 32/67 [01:53<03:33,  6.10s/it, Cls loss=0.897, Angle loss=0.254, IoU loss=1.31]
